uuid	raw_text	dom	text	class	Query_faiss	nlp_recommend
4d8dc17a-770c-404b-a47e-c560a4bd5e73	天猫精灵要个少调味的菜	1	少调味	0	['淮扬头道菜', '清汤水潺面', '喷香喷香的白米饭', '喷香白米饭', '荞麦大冷面']	清汤水潺面
163a3c69-37d9-4ccc-9421-dbaf44e2ebaa	别太咸了	1	别太咸了	0	['优质素冒菜', '闽南包菜饭', '本地山羊纯羊肉汤', '家烧油冬菜', '纯素胡辣汤']	闽南包菜饭
82dde50b-2905-4e72-829b-68ae0b02306e	天猫精灵推荐好消化的	1	好消化的	0	['大家爱吃的白粥', '很正常的白米饭', '女汉子的白米饭', '一碗常被爸妈叮嘱的白米饭', '金丝玉米面']	大家爱吃的白粥
7c462f62-a6fa-4909-b560-cc4f776389a3	天猫精灵请挑点好消化的	1	好消化的	0	['大家爱吃的白粥', '很正常的白米饭', '女汉子的白米饭', '一碗常被爸妈叮嘱的白米饭', '金丝玉米面']	大家爱吃的白粥
79dc1fa8-1b06-40e2-b24d-6cdf5eb446e9	天猫精灵随便吃点清淡的	1	清淡的	0	['健康的生菜', '天然绿油油的生菜', '香喷喷的的白米饭', '好吃的娃娃菜', '香喷喷的蒸饭']	天然绿油油的生菜
fd664f15-2c0f-48cb-a788-ec820a63000f	要个不费牙的	1	不费牙的	0	['生米煮成的熟饭', '清晨的白粥', '不放葱的蛋炒饭', '大家爱吃的白粥', '女汉子的白米饭']	清晨的白粥
039b322e-2bb4-4c6f-9a05-7148262faade	软和点心有没有	1	软和	0	['虾滑白菜炖豆腐', '排骨炖土豆豆腐双人份', '老板鱼炖豆腐', '鮟鱇鱼炖豆腐', '比管鱼炖豆腐']	虾滑白菜炖豆腐
9eab0ecb-1b9e-4cfd-8b04-896ad0f1a5ae	天猫精灵不要太咸的	1	不要太咸	0	['好吃白米饭', '上汤红苋菜', '上汤白苋菜', '西湖纯菜汤', '精品玉米面']	西湖纯菜汤
44f8e72a-09e5-400e-a144-45db802b294c	天猫精灵要汤汤水水的	1	汤汤水水	0	['三色糙米饭', '家炖鱼头棋盘山鲢鱼', '高粱米水饭', '古法泉水香米白饭', '蚌肉鸡毛菜']	蚌肉鸡毛菜
999b11be-d9ed-405c-a507-b5ca43066f18	天猫精灵推荐点热乎的	1	热乎的	0	['热乎的五常大米饭', '古法熬制的小米粥', '清晨的白粥', '暖心红豆汤', '妈妈的核桃蛋汤']	热乎的五常大米饭
07005136-410e-413a-95ac-cda1937efb50	来点家常味道	1	家常味道	0	['家常炒豆皮', '家常跨炖鱼', '家常凉拌菜', '家常炖菜肉少', '家常炒合菜']	家常炒合菜
2a5d0b1f-5e08-4dc3-a1e9-81af0a0ab8b0	要个少盐少油的	1	少盐少油	0	['时令菌菇面', '家烧高山黄花菜', '鲜蔬煎鸡饭', '蘸水苦菜汤', '吴弟山野菜汤']	蘸水苦菜汤
1341f3d3-7933-4832-9079-8beb49832649	天猫精灵来点养胃的	1	养胃	0	['养胃玉米粥', '养胃燕麦粥', '养胃八宝粥', '养胃小米玉米粥', '养胃南瓜小米粥']	养胃玉米粥
8a5a9e1e-69d2-448e-b86d-e7a20fa78332	天猫精灵要煮得烂糊些	1	煮得烂糊	0	['巴盟烂腌菜', '老味酥肉炖白菜', '大虾烧白菜', '烧羊肉白菜', '白虾烧芥菜']	巴盟烂腌菜
9584025f-ab7f-4050-a0e5-f43031714bcf	天猫精灵容易嚼的肉	1	容易嚼的	0	['很正常的白米饭', '一碗常被爸妈叮嘱的白米饭', '女汉子的白米饭', '大家爱吃的白粥', '湖南生态大米煮的小煲饭']	一碗常被爸妈叮嘱的白米饭
4e1c1207-2d53-4e96-aa5c-64ebdcfd911e	天猫精灵要容易嚼的	1	容易嚼的	0	['很正常的白米饭', '一碗常被爸妈叮嘱的白米饭', '女汉子的白米饭', '大家爱吃的白粥', '湖南生态大米煮的小煲饭']	一碗常被爸妈叮嘱的白米饭
30096717-444a-4474-93f9-3140fb185313	有没有热乎的	1	热乎的	0	['热乎的五常大米饭', '古法熬制的小米粥', '清晨的白粥', '暖心红豆汤', '妈妈的核桃蛋汤']	热乎的五常大米饭
13f1148b-b2c7-4e77-9ae1-a96e571c6d82	天猫精灵不要辣不要油腻	1	不要辣不要油腻	0	['好吃白米饭', '陕南浆水面', '优质白米饭', '生态白米饭', '正宗盘锦大米饭']	好吃白米饭
1000a974-73a8-4af2-b46a-635c7085408d	天猫精灵别太咸别太辣	1	别太咸别太辣	0	['三色糙米饭', '家炖鱼头棋盘山鲢鱼', '古法泉水香米白饭', '健康蘸酱菜', '古法红豆汤']	三色糙米饭
0c6e2ef9-ea1a-4c2c-9bf1-212b2f143dd8	天猫精灵来点不费牙的	1	不费牙的	0	['生米煮成的熟饭', '清晨的白粥', '不放葱的蛋炒饭', '大家爱吃的白粥', '女汉子的白米饭']	清晨的白粥
b41344d4-bc42-4d7f-b1d2-601b3959c55a	天猫精灵来点好消化的	1	好消化的	0	['大家爱吃的白粥', '很正常的白米饭', '女汉子的白米饭', '一碗常被爸妈叮嘱的白米饭', '金丝玉米面']	大家爱吃的白粥
ece19bb2-e1be-4fa2-bf67-b1042bb6d5de	天猫精灵随便来点主食	1	主食	0	['蟹田大米粥', '早餐伴侣八宝菜', '健康蘸酱菜', '古法泉水香米白饭', '古法红豆汤']	古法泉水香米白饭
0f624f89-a6b8-4ab9-93de-683e87d5b52c	天猫精灵少调料的菜	1	少调料	0	['家炖鱼头棋盘山鲢鱼', '淮扬头道菜', '三色糙米饭', '清汤水潺面', '水灵灵六种蘸酱菜']	清汤水潺面
c7931025-ead5-444f-b446-a8d451d10c5e	天猫精灵来碗煮得烂糊的	1	煮得烂糊	0	['巴盟烂腌菜', '老味酥肉炖白菜', '大虾烧白菜', '烧羊肉白菜', '白虾烧芥菜']	巴盟烂腌菜
0c3af62f-52c7-40c9-ad4b-db60db3e2266	天猫精灵要份清淡的白灼小油菜吧	1	清淡的白灼小油菜	1	['嫩绿的小油菜', '清炒上海青菜', '白灼小油菜', '清炒小青菜', '清炒时蔬菜']	白灼小油菜
0a41b1e7-07b4-4976-9f99-12426b22d221	天猫精灵来碗热乎的养生杂粮粥吧	1	养生杂粮粥	1	['黑米养生粥', '养生红豆粥', '红豆养生粥', '养生地瓜粥', '养生红薯粥']	黑米养生粥
e80cfa58-352a-4e0a-92e9-99c7e86b48c3	阿拉要一份洋葱肉丝下饭套餐老嗲额米道肯定灵光	1	洋葱肉丝下饭套餐	1	['蒜苔豆腐干肉丝盖浇饭', '大蒜笋干炒肉', '黄山笋干炒肉', '土豆片炒肉盖浇', '碎黄瓜炒肉']	蒜苔豆腐干肉丝盖浇饭
429f72b0-4312-45c0-be2a-cd36381a6d5c	来一份南瓜小米百合养生粥呀养养身体蛮好额	1	南瓜小米百合养生粥	1	['南瓜小米养生粥', '养生小米南瓜粥', '红枣小米南瓜粥', '小米红枣南瓜粥', '小米南瓜红枣粥']	南瓜小米养生粥
2b2b6848-2b47-4c3a-935f-edacf5591e6b	天猫精灵要碗核桃枸杞养生粥吧	1	核桃枸杞养生粥	1	['桂圆莲子养生粥', '枸杞大枣荷叶粥', '明目桂圆枸杞粥', '黑米大枣枸杞粥', '金丝红枣枸杞粥']	枸杞大枣荷叶粥
4d917c6d-40f0-4bc5-9c23-03e0e2f8e99d	哎帮吾来一记番茄搭茄子小炒伐茄子要煸得酥酥额米道浓点米道老灵额	1	番茄搭茄子小炒	1	['青瓜肉片饭', '凉瓜肉片饭', '苦瓜炒肉饭', '苦瓜肉片饭', '青瓜肉片套餐饭']	无匹配菜品
87121746-56c2-4b1d-8434-4a81253671db	哎帮吾来一盅红豆小米补身粥呀要烧得浓稠点哦米道嗲一点今朝就想吃口热乎软熟个物事	1	红豆小米补身粥	1	['小米红豆粥', '黑米燕麦混合粥', '小米红豆红糖粥', '小米红糖红豆粥', '黑米燕麦营养粥']	小米红豆粥
3c2253e9-99ff-4f71-8874-aebf761ad47a	要碗红薯南瓜暖胃粥吧	1	红薯南瓜暖胃粥	1	['暖胃小米南瓜粥', '暖胃红糖粥', '暖胃红薯粥', '小米暖胃粥', '暖心南瓜小米粥']	暖胃红薯粥
162f09b1-91ac-4652-aad6-f1edd93b8dc1	吾要一份屋里厢味道个番茄蛋花汤今朝想吃得清淡点伐要忒咸哦	1	番茄蛋花汤	1	['番茄蛋花汤', '番茄家户蛋汤', '番茄毛圆蛋汤', '榨菜番茄蛋花汤', '西红柿蛋花汤']	番茄蛋花汤
2f21f74d-f373-41c7-ba85-66c7fb8da889	天猫精灵来碗玉米肉末粥	1	玉米肉末粥	1	['玉米香菇粥', '春菜肉末粥', '香菇鱼片粥', '香菇玉米排骨粥', '香菇鸡丝粥']	春菜肉末粥
ae062d02-2bca-4b1e-8507-55eaa2d605d3	天猫精灵来碗招牌老鸭粉丝汤鲜得很	1	招牌老鸭粉丝汤	1	['招牌老鸭粉丝汤', '招牌妯娌老鸭粉丝汤', '招牌精品老鸭粉丝汤', '大碗老鸭粉丝汤', '经典老鸭粉丝汤']	招牌老鸭粉丝汤
a0284849-0964-46d0-ae37-bef9191cf0d9	天猫精灵来碗热乎的土鸡粥吧	1	土鸡粥	1	['土鸡虾粥粥', '鸡肉金丝粥', '阴米肚片粥', '潮府海鲜粥', '冰湖野米海参粥']	鸡肉金丝粥
0a993b62-c31a-4fcb-b057-b9e28c2a20cf	天猫精灵今朝帮吾点只老滋补排骨浓汤好伐汤水要炖得透点味道鲜点骨头酥点吃了适意	1	老滋补排骨浓汤	1	['四小时茶树菇煨老鸡汤', '广式老鸡肉丁煲汤', '鲜虫草花炖乌鸡汤', '老上海单档汤', '老上海双档汤']	老上海双档汤
df2f2df3-c38d-4231-ac69-f564e08bf3dc	天猫精灵大火快炒的嫩绿豆芽来一份	1	大火快炒的嫩绿豆芽	0	['清炒窝笋丝', '清炒红萝卜片', '清炒白玉翡翠', '清炒乌鱼片', '清炒莴苣叶']	清炒白玉翡翠
7e2f0f91-9d38-45ca-b1a9-d9024e27f34f	来份东北香米饭吧	1	东北香米饭	1	['东北香米饭', '东北无常香米饭', '水晶香米饭', '泰国茉莉花香米饭', '珍珠香米饭']	东北香米饭
67bb72d6-e556-4f13-8c85-c2dd38f0f3fb	哎今朝想讨碗红枣山药大麦养胃粥米道烧得浓点哦粥要笃笃烫天冷吃了暖胃呀	1	红枣山药大麦养胃粥	1	['山药薏米红枣粥', '核桃红枣山药粥', '山药枸杞地瓜粥', '小米红枣山药粥', '山药大麦红枣粥']	山药大麦红枣粥
ad9610c3-da9a-4165-9f70-46da73643ccb	天猫精灵来碗南瓜小米养胃粥	1	南瓜小米养胃粥	1	['小米南瓜养胃粥', '养胃小米南瓜粥', '现熬小米南瓜粥', '养胃南瓜粥', '黄金小米南瓜粥']	小米南瓜养胃粥
818668d7-916e-4f9b-b90c-4b32b8f89344	小把戏帮吾来碗鲜得来眉毛落特额素鸡蘑菇汤面好伐汤头浓点哦	1	素鸡蘑菇汤面	1	['雪菜煎蛋汤面', '蘑菇素鸡面', '雪菜蛋炒饭', '蘑菇肉汤面', '雪菜刀削面']	蘑菇素鸡面
e6d3c0a6-c64d-4b4a-861b-53fdcb217c3b	天猫精灵罗式虾要煮几分钟才能熟	1	罗式虾	1	['樱花虾炒莲白', '小白虾沙蛤米面', '海鲜番薯长寿面', '淮杞炖竹丝鸡', '咸菜冬瓜汤']	小白虾沙蛤米面
